"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"HCG","Healthcare Global Enterprises Limited","7(2)","Meghraj Arvindrao Gore","Other","Equity Shares","496737","0.35",,"250000","157967516","Sell","Equity Shares","246737","0.17","30-Sep-2025","30-Sep-2025","30-Sep-2025","Invocation of pledge","-","-","0","0","0","0","NSE","-","01-Oct-2025 13:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188688_1539376_01102025011419_WEB.xml"
"HCG","Healthcare Global Enterprises Limited","7(2)","Vineesh Kumar Ghei","Other","Equity Shares","118989","0.08",,"54000","34525456","Sell","Equity Shares","64989","0.05","30-Sep-2025","30-Sep-2025","30-Sep-2025","Invocation of pledge","-","-","0","0","0","0","NSE","-","01-Oct-2025 13:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188688_1539376_01102025011419_WEB.xml"
"HCG","Healthcare Global Enterprises Limited","7(2)","Venkataramanan P","Employees/Designated Employees","Equity Shares","53819","0.04",,"12500","7994713","Sell","Equity Shares","41319","0.03","30-Sep-2025","30-Sep-2025","30-Sep-2025","Invocation of pledge","-","-","0","0","0","0","NSE","-","01-Oct-2025 13:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188688_1539376_01102025011419_WEB.xml"
"CIPLA","Cipla Limited","7(2)","Anusha Jain jointly with Dinesh Jain","Immediate relative","Equity Shares","15419","0",,"15419","0","Sell","Equity Shares","Nil","0","26-Sep-2025","26-Sep-2025","30-Sep-2025","Gift","-","-","0","0","0","0","NA","-","01-Oct-2025 13:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188686_1539366_01102025010642_WEB.xml"
"CIPLA","Cipla Limited","7(2)","Renu Jain jointly with Dinesh Jain","Immediate relative","Equity Shares","137","0",,"15419","0","Buy","Equity Shares","15556","0","26-Sep-2025","26-Sep-2025","30-Sep-2025","Gift","-","-","0","0","0","0","NA","-","01-Oct-2025 13:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188686_1539366_01102025010642_WEB.xml"
"BHARATSE","Bharat Seats Limited","7(2)","Rohit Relan Family Trust","Promoters","Equity Shares","Nil","0",,"10288358","0","Buy","Equity Shares","10288358","16.38","26-Sep-2025","26-Sep-2025","29-Sep-2025","Gift","-","-","0","0","0","0","NA","-","01-Oct-2025 12:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188682_1539320_01102025124405_WEB.xml"
"BHARATSE","Bharat Seats Limited","7(2)","Ayush Relan","Promoter Group","Equity Shares","442542","0.7",,"442542","0","Sell","Equity Shares","Nil","0","26-Sep-2025","26-Sep-2025","29-Sep-2025","Gift","-","-","0","0","0","0","NA","-","01-Oct-2025 12:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188682_1539320_01102025124405_WEB.xml"
"BHARATSE","Bharat Seats Limited","7(2)","Rishabh Relan","Promoter Group","Equity Shares","746000","1.19",,"746000","0","Sell","Equity Shares","Nil","0","26-Sep-2025","26-Sep-2025","29-Sep-2025","Gift","-","-","0","0","0","0","NA","-","01-Oct-2025 12:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188682_1539320_01102025124405_WEB.xml"
"BHARATSE","Bharat Seats Limited","7(2)","Ritu Relan","Promoters","Equity Shares","575000","0.92",,"575000","0","Sell","Equity Shares","Nil","0","26-Sep-2025","26-Sep-2025","29-Sep-2025","Gift","-","-","0","0","0","0","NA","-","01-Oct-2025 12:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188682_1539320_01102025124405_WEB.xml"
"BHARATSE","Bharat Seats Limited","7(2)","Rohit Relan","Promoters","Equity Shares","7658316","12.19",,"7658316","0","Sell","Equity Shares","Nil","0","26-Sep-2025","26-Sep-2025","29-Sep-2025","Gift","-","-","0","0","0","0","NA","-","01-Oct-2025 12:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188682_1539320_01102025124405_WEB.xml"
"BHARATSE","Bharat Seats Limited","7(2)","Pranav Relan","Promoter Group","Equity Shares","866500","1.38",,"866500","0","Sell","Equity Shares","Nil","0","26-Sep-2025","26-Sep-2025","29-Sep-2025","Gift","-","-","0","0","0","0","NA","-","01-Oct-2025 12:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188682_1539320_01102025124405_WEB.xml"
"ADOR","Ador Welding Limited","7(2)","DEEP ASHDA LALVANI","Promoters","Equity Shares","14409","0.08",,"1991","1945906","Buy","Equity Shares","16400","0.09","29-Sep-2025","29-Sep-2025","30-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 12:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188680_1539309_01102025123924_WEB.xml"
"ENDURANCE","Endurance Technologies Limited","7(2)","Aswinsriram Alagarsamy","Employees/Designated Employees","Equity Shares","1500","0",,"1500","4071000","Sell","Equity Shares","Nil","-","30-Sep-2025","30-Sep-2025","30-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","01-Oct-2025 12:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188676_1539289_01102025122452_WEB.xml"
"GHCL","GHCL Limited","7(2)","K M Vadher","Employees/Designated Employees","Equity Shares","30010","0.03",,"1010","597750","Sell","Equity Shares","29000","0.02","25-Sep-2025","29-Sep-2025","29-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","01-Oct-2025 12:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188674_1539284_01102025122248_WEB.xml"
"SAFARI","Safari Industries (India) Limited","7(2)","SOMESH HIRDAYRAM PATHAK","-","Equity Shares","1722","0",,"1740","3480","Buy","Equity Shares","3462","0.01","11-Aug-2025","11-Aug-2025","30-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","01-Oct-2025 11:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188672_1539232_01102025113937_WEB.xml"
"SAFARI","Safari Industries (India) Limited","7(2)","SOMESH HIRDAYRAM PATHAK","-","Equity Shares","3462","0.01",,"2185","4824202","Sell","Equity Shares","1277","0","19-Sep-2025","29-Sep-2025","30-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","01-Oct-2025 11:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188672_1539232_01102025113937_WEB.xml"
"SAFARI","Safari Industries (India) Limited","7(2)","NAZUK KESHAN","-","Equity Shares","12849","0.03",,"1000","2186350","Sell","Equity Shares","11849","0.02","30-Sep-2025","30-Sep-2025","30-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","01-Oct-2025 11:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188672_1539232_01102025113937_WEB.xml"
"SAFARI","Safari Industries (India) Limited","7(2)","SANTOSH KUMAR","-","Equity Shares","1550","0",,"778","1706450","Sell","Equity Shares","772","0","29-Sep-2025","30-Sep-2025","30-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","01-Oct-2025 11:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188672_1539232_01102025113937_WEB.xml"
"SANGAMIND","Sangam (India) Limited","7(2)","Sangam (India) Limited Employees Welfare Trust","Other","Equity Shares","649666","1.29",,"8817","3826558","Buy","Equity Shares","658483","1.31","29-Sep-2025","30-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 11:12","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188670_1539210_01102025111211_WEB.xml"
"CHEMBONDCH","Chembond Chemicals Limited","7(2)","Nirmal V. Shah","Promoters","Equity Shares","3614286","13.44",,"4043","654966","Buy","Equity Shares","3618329","13.45","30-Sep-2025","30-Sep-2025","30-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 09:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188667_1539169_01102025093520_WEB.xml"
